runid,topic,ndcg@1000,err@1000
Standart,235,0.50684,0.04399
Standart,238,0.27901,0.04773
Standart,241,0.63383,0.11436
Standart,243,0.61148,0.02434
Standart,244,0.83031,0.15291
Standart,258,0.67699,0.15745
Standart,265,0.66006,0.09903
Standart,270,0.47050,0.02837
Standart,271,0.96364,0.18166
Standart,278,0.72975,0.17273
Standart,282,0.36007,0.01238
Standart,283,0.78045,0.14842
Standart,284,0.55252,0.16883
Standart,288,0.66051,0.15395
Standart,289,0.19241,0.13800
Standart,294,0.61796,0.07104
Standart,295,0.77581,0.18245
Standart,296,0.55110,0.04000
Standart,298,0.30783,0.02116
Standart,300,0.76452,0.10084
Standart,301,0.48027,0.04716
Standart,302,0.21347,0.03631
Standart,304,0.62440,0.12526
Standart,305,0.62932,0.15081
Standart,306,0.78695,0.15135
Standart,307,0.67290,0.15971
Standart,308,0.66961,0.09946
Standart,311,0.84048,0.11833
Standart,324,0.64473,0.14992
Standart,339,0.36437,0.06511
Standart,342,0.89880,0.18438
Standart,343,0.91961,0.18464
Standart,344,0.58682,0.04561
Standart,347,0.26518,0.01509
Standart,348,0.86585,0.17482
Standart,349,0.69850,0.15320
Standart,350,0.94445,0.18106
Standart,352,0.27598,0.02250
Standart,360,0.90311,0.15986
Standart,362,0.44599,0.16158
Standart,366,0.85711,0.16989
Standart,367,0.88339,0.16120
Standart,368,0.89988,0.18111
Standart,373,0.50653,0.14832
Standart,374,0.35400,0.04902
Standart,377,0.95603,0.18450
Standart,378,0.49869,0.01737
Standart,382,0.47855,0.12003
Standart,383,0.55572,0.17021
Standart,406,0.85687,0.16607
Standart,411,0.51713,0.04788
Standart,412,0.71136,0.12041
Standart,414,0.72129,0.05246
Standart,416,0.26343,0.01477
Standart,417,0.82822,0.18456
Standart,419,0.58968,0.13303
Standart,421,0.26348,0.12546
Standart,423,0.77061,0.17404
Standart,424,0.86801,0.17717
Standart,426,0.87596,0.13037
Standart,428,0.89384,0.18421
Standart,432,0.56087,0.06494
Standart,433,0.74824,0.15194
Standart,435,0.78495,0.11923
Standart,437,0.67984,0.17066
Standart,442,0.72422,0.14406
Standart,444,0.90696,0.17929
Standart,450,0.96181,0.18112
Standart,452,0.53921,0.16191
Standart,472,0.62248,0.16328
Standart,474,0.71483,0.09521
Standart,481,0.90988,0.17748
Standart,amean,0.65221,0.12176
